autor,titulo,poema,numero_total_estrofas,versos_por_estrofa,distribucion_silabas_estrofas,entropia_lexica_sust_adj
federico garcía lorca,es verdad,"
        ¡Ay qué trabajo me cuesta
        quererte como te quiero!

        Por tu amor me duele el aire,
        el corazón
        y el sombrero.

        ¿Quién me compraría a mí
        este cintillo que tengo
        y esta tristeza de hilo
        blanco, para hacer pañuelos?

        ¡Ay qué trabajo me cuesta
        quererte como te quiero!
    ",4,"[2, 3, 4, 2]","{1: [8, 8], 2: [9, 4, 5], 3: [7, 8, 9, 10], 4: [8, 8]}",3.121928094887363
federico garcía lorca,gacela del amor con cien años,"
        Suben por la calle
        los cuatro galanes.
        Ay, ay, ay, ay.

        Por la calle abajo
        van los tres galanes.
        Ay, ay, ay.

        Se ciñen el talle
        esos dos galanes.
        Ay, ay.

        ¡Cómo vuelve el rostro
        un galán y el aire!
        Ay.

        Por los arrayanes
        se pasea nadie.
    ",5,"[3, 3, 3, 3, 2]","{1: [6, 6, 4], 2: [6, 6, 3], 3: [6, 5, 2], 4: [7, 7, 1], 5: [5, 5]}",2.321928094887362
federico garcía lorca,gacela del amor desesperado,"
        La noche no quiere venir
        para que tú no vengas
        ni yo pueda ir.

        Pero yo iré
        aunque un sol de alacranes me coma la sien.
        Pero tú vendrás
        con la lengua quemada por la lluvia de sal.

        El día no quiere venir
        para que tú no vengas
        ni yo pueda ir.

        Pero yo iré
        entregando a los sapos mi mordido clavel.
        Pero tú vendrás
        por las turbias cloacas de la oscuridad.

        Ni la noche ni el día quieren venir
        para que por ti muera
        y tú mueras por mí.
    ",5,"[3, 4, 3, 4, 3]","{1: [8, 7, 5], 2: [4, 13, 5, 13], 3: [7, 7, 5], 4: [4, 14, 5, 13], 5: [11, 7, 6]}",3.8750000000000004
federico garcía lorca,gacela dle niño muerto,"
        Todas las tardes en Granada,
        todas las tardes se muere un niño.
        Todas las tardes el agua se sienta
        a conversar con sus amigos.

        Los muertos llevan alas de musgo.
        El viento nublado y el viento limpio
        son dos faisanes que vuelan por las torres
        y el día es un muchacho herido.

        No quedaba en el aire ni una brizna de alondra
        cuando yo te encontré por las grutas del vino.
        No quedaba en la tierra ni una miga de nube
        cuando te ahogabas por el río.

        Un gigante de agua cayó sobre los montes
        y el valle fue rodando con perros y con lirios.
        Tu cuerpo, con la sombra violeta de mis manos,
        era, muerto en la orilla, un arcángel de frío.
    ",4,"[4, 4, 4, 4]","{1: [9, 11, 10, 9], 2: [9, 12, 12, 11], 3: [15, 12, 15, 9], 4: [13, 16, 15, 13]}",4.910992253015047
federico garcía lorca,hora de estrellas,"
        El silencio redondo de la noche
        sobre el pentagrama
        del infinito.

        Yo me salgo desnudo a la calle,
        maduro de versos
        perdidos.
        Lo negro, acribillado
        por el canto del grillo,
        tiene ese fuego fatuo,
        muerto,
        del sonido.
        Esa luz musical
        que percibe
        el espíritu.

        Los esqueletos de mil mariposas
        duermen en mi recinto.

        Hay una juventud de brisas locas
        sobre el río.

        El camino

        No conseguirá nunca
        tu lanza
        herir el horizonte.
        La montaña
        es un escudo
        que lo guarda.

        No sueñes con la sangre de la luna
        y descansa.
        Pero deja, camino,
        que mis plantas
        exploren la caricia
        de la rociada.

        ¡Quiromántico enorme!
        ¿Conocerás las almas
        por el débil tatuaje
        que olvidan en tu espalda?
        Si eres Flammarión
        de las pisadas,
        ¡cómo debes amar
        a los asnos que pasan
        acariciando con ternura humilde
        tu carne desgarrada!
        Ellos solos meditan dónde puede
        llegar tu enorme lanza.
        Ellos solos, que son
        los Budas de la Fauna,
        cuando viejos y heridos deletrean
        tu libro sin palabras.

        ¡Cuánta melancolía
        tienes entre las casas
        del poblado!
        ¡Qué clara
        es tu virtud! Aguantas
        cuatro carros dormidos,
        dos acacias,
        y un pozo del antaño
        que no tiene agua.

        Dando vueltas al mundo,
        no encontrarás posada.
        No tendrás camposanto
        ni mortaja,
        ni el aire del amor renovará
        tu sustancia.

        Pero sal de los campos
        y en la negra distancia
        de lo eterno, si tallas
        la sombra con tu lima
        blanca, ¡oh camino!
        ¡pasarás por el puente
        de Santa Clara!
    ",11,"[3, 11, 2, 2, 1, 6, 6, 16, 9, 6, 7]","{1: [11, 7, 5], 2: [11, 6, 4, 7, 7, 7, 2, 4, 5, 4, 4], 3: [11, 7], 4: [10, 4], 5: [3], 6: [7, 3, 7, 4, 5, 4], 7: [11, 4, 7, 4, 7, 5], 8: [6, 7, 7, 9, 6, 6, 5, 7, 11, 7, 10, 7, 6, 7, 11, 8], 9: [6, 7, 4, 3, 7, 8, 4, 8, 5], 10: [7, 8, 7, 4, 10, 4], 11: [7, 8, 7, 7, 6, 7, 5]}",6.2374920011103185
federico garcía lorca,idilio,"
            tú querías que yo te dijera
            el secreto de la primavera.

            y yo soy para el secreto
            lo mismo que es el abeto.

            árbol cuyos mil deditos
            señalan mil caminitos.

            nunca te diré, amor mío,
            por qué corre lento el río.

            pero pondré en mi voz estancada
            el cielo ceniza de tu mirada.

            ¡dame vueltas, morenita!
            ten cuidado con mis hojitas.

            dame más vueltas alrededor,
            jugando a la noria del amor.

            ¡ay! no puedo decirte, aunque quisiera,
            el secreto de la primavera.
        ",8,"[2, 2, 2, 2, 2, 2, 2, 2]","{1: [9, 10], 2: [9, 8], 3: [8, 9], 4: [7, 8], 5: [11, 11], 6: [9, 10], 7: [10, 10], 8: [13, 10]}",4.363713275750192
federico garcía lorca,infancia y muerte,"
        Para buscar mi infancia, ¡Dios mío!
        comí naranjas podridas, papeles viejos, palomares vacíos,
        y encontré mi cuerpecito comido por las ratas,
        en el fondo del aljibe y con las cabelleras de los locos.
        Mi traje de marinero
        no estaba empapado con el aceite de las ballenas,
        pero tenía la eternidad vulnerable de las fotografías.
        Ahogado, sí, bien ahogado. Duerme, hijito mío, duerme.
        Niño vencido en el colegio y en el vals de la rosa herida,
        asombrado con el alba oscura del vello sobre los muslos,
        agonizando con su propio hombre que masticaba tabaco en su costado
        siniestro.
        Oigo un río seco lleno de latas de conserva
        donde cantan las alcantarillas y arrojan las camisas llenas de sangre;
        un río de gatos podridos que fingen corolas y anémonas
        para engañar a la luna y que se apoye dulcemente en ellos.
        Aquí solo con mi ahogado.
        Aquí solo con la brisa de musgos fríos y tapaderas de hojalata.
        Aquí sólo veo que ya me han cerrado la puerta.
        Me han cerrado la puerta y hay un grupo de muertos
        que juega al tiro al blanco, y otro grupo de muertos
        que busca por la cocina las cáscaras de melón,
        y un solitario, azul, inexplicable muerto
        que me busca por las escaleras, que mete las manos en el aljibe
        mientras los astros llenan de ceniza las cerraduras de las catedrales
        y las gentes se quedan de pronto con todos las trajes pequeños.
        Para buscar mi infancia, ¡Dios mío!,
        comí limones estrujados, establos, periódicos marchitos.
        Pero mi infancia era una rata que huía por un jardín oscurísimo,
        una rata satisfecha mojada por el agua simple,
        y que llevaba un anda de oro entre los dientes diminutos.
    ",1,[31],"{1: [10, 22, 16, 20, 8, 18, 19, 16, 21, 19, 23, 3, 14, 22, 18, 21, 8, 21, 14, 16, 16, 16, 14, 22, 22, 20, 11, 22, 21, 15, 20]}",6.358561358925161
federico garcía lorca,la aurora,"
        La aurora de Nueva York tiene
        cuatro columnas de cieno
        y un huracán de negras palomas
        que chapotean las aguas podridas.

        La aurora de Nueva York gime
        por las inmensas escaleras
        buscando entre las aristas
        nardos de angustia dibujada.

        La aurora llega y nadie la recibe en su boca
        porque allí no hay mañana ni esperanza posible.
        A veces las monedas en enjambres furiosos
        taladran y devoran abandonados niños.

        Los primeros que salen comprenden con sus huesos
        que no habrá paraíso ni amores deshojados;
        saben que van al cieno de números y leyes,
        a los juegos sin arte, a sudores sin fruto.

        La luz es sepultada por cadenas y ruidos
        en impúdico reto de ciencia sin raíces.
        Por los barrios hay gentes que vacilan insomnes
        como recién salidas de un naufragio de sangre.
    ",5,"[4, 4, 4, 4, 4]","{1: [11, 8, 11, 10], 2: [11, 9, 8, 10], 3: [17, 16, 14, 14], 4: [14, 15, 15, 14], 5: [14, 13, 14, 14]}",5.4108678409933075
federico garcía lorca,la casada infiel,"
        Y que yo me la llevé al río
        creyendo que era mozuela,
        pero tenía marido.
        Fue la noche de Santiago
        y casi por compromiso.
        Se apagaron los faroles
        y se encendieron los grillos.
        En las últimas esquinas
        toqué sus pechos dormidos,
        y se me abrieron de pronto
        como ramos de jacintos.
        El almidón de su enagua
        me sonaba en el oído,
        como una pieza de seda
        rasgada por diez cuchillos.
        Sin luz de plata en sus copas
        los árboles han crecido,
        y un horizonte de perros
        ladra muy lejos del río.
        Pasadas las zarzamoras,
        los juncos y los espinos,
        bajo su mata de pelo
        hice un hoyo sobre el limo.
        Yo me quité la corbata.
        Ella se quitó el vestido.
        Yo el cinturón con revólver.
        Ella sus cuatro corpiños.
        Ni nardos ni caracolas
        tienen el cutis tan fino,
        ni los cristales con luna
        relumbran con ese brillo.
        Sus muslos se me escapaban
        como peces sorprendidos,
        la mitad llenos de lumbre,
        la mitad llenos de frío.
        Aquella noche corrí
        el mejor de los caminos,
        montando en potra de nácar
        sin bridas y sin estribos.
        No quiero decir, por hombre,
        las cosas que ella me dijo.
        La luz del entendimiento
        me hace ser muy comedido.
        Sucia de besos y arena,
        yo me la llevé del río.
        Con el aire se batían
        las espadas de los lirios.

        Me porté como quien soy.
        Como un gitano legítimo.
        Le regalé un costurero
        grande, de raso pajizo,
        y no quise enamorarme
        porque teniendo marido
        me dijo que era mozuela
        cuando la llevaba al río.

        La monja gitana

        Silencio de cal y mirto.
        Malvas en las hierbas finas.
        La monja borda alhelíes
        sobre una tela pajiza.
        Vuelan en la araña gris
        siete pájaros del prisma.
        La iglesia gruñe a lo lejos
        como un oso panza arriba.
        ¡Qué bien borda! ¡Con qué gracia!
        Sobre la tela pajiza
        ella quisiera bordar
        flores de su fantasía.
        ¡Qué girasol! ¡Qué magnolia
        de lentejuelas y cintas!
        ¡Qué azafranes y qué lunas
        en el mantel de la misa!
        Cinco toronjas se endulzan
        en la cercana cocina.
        Las cinco llagas de Cristo
        cortadas en Almería.

        Por los ojos de la monja
        galopan dos caballistas.
        Un rumor último y sordo
        le despega la camisa,
        y al mirar nubes y montes
        en las yertas lejanías,
        se quiebra su corazón
        de azúcar y yerbaluisa.
        ¡Oh, qué llanura empinada
        con veinte soles arriba!
        ¡Qué ríos puestos de pie
        vislumbra su fantasía!
        Pero sigue con sus flores,
        mientras que de pie, en la brisa,
        la luz juega el ajedrez
        alto de la celosía.
    ",5,"[47, 8, 1, 20, 16]","{1: [9, 8, 7, 8, 8, 8, 10, 8, 9, 8, 9, 8, 8, 8, 9, 9, 8, 9, 7, 9, 9, 8, 10, 8, 8, 10, 8, 8, 8, 8, 7, 9, 9, 8, 7, 6, 9, 9, 9, 9, 8, 8, 9, 8, 7, 7, 9], 2: [8, 9, 9, 8, 8, 8, 8, 8], 3: [6], 4: [8, 9, 7, 8, 7, 8, 9, 8, 8, 8, 6, 7, 9, 9, 8, 8, 9, 8, 8, 7], 5: [7, 9, 9, 8, 9, 8, 7, 8, 9, 7, 6, 7, 8, 9, 7, 7]}",6.7906648414224
federico garcía lorca,la guitarra,"
        Empieza el llanto
        de la guitarra.
        Se rompen las copas
        de la madrugada.
        Empieza el llanto
        de la guitarra.
        Es inútil callarla.
        Es imposible
        callarla.

        Llora monótona
        como llora el agua,
        como llora el viento
        sobre la nevada.
        Es imposible
        callarla,
        Llora por cosas
        lejanas.

        Arena del Sur caliente
        que pide camelias blancas.
        Llora flecha sin blanco,
        la tarde sin mañana,
        y el primer pájaro muerto
        sobre la rama.

        ¡Oh guitarra!
        Corazón malherido
        por cinco espadas.
    ",4,"[9, 8, 6, 3]","{1: [6, 5, 6, 6, 6, 5, 6, 5, 3], 2: [6, 6, 7, 6, 5, 3, 5, 4], 3: [7, 9, 7, 7, 9, 5], 4: [4, 6, 7]}",4.1757358691004915
federico garcía lorca,llagas de amor,"
                esta luz, este fuego que devora,
                este paisaje gris que me rodea,
                este dolor por una sola idea,
                esta angustia de cielo, mundo y hora,

                este llanto de sangre que decora
                lira sin pulso ya, lúbrica tea,
                este peso del mar que me golpea,
                este alacrán que por mi pecho mora,

                son guirnalda de amor, cama de herido,
                donde sin sueño, sueño tu presencia
                entre las ruinas de mi pecho hundido.

                y aunque busco la cumbre de prudencia
                me da tu corazón valle tendido
                con cicuta y pasión de amarga ciencia.
            ",4,"[4, 4, 3, 3]","{1: [12, 10, 9, 13], 2: [11, 10, 10, 11], 3: [13, 11, 12], 4: [12, 11, 12]}",5.058813890331201
federico garcía lorca,muerte,"
            ¡qué esfuerzo!
            ¡qué esfuerzo del caballo por ser perro!
            ¡qué esfuerzo del perro por ser golondrina!
            ¡qué esfuerzo de la golondrina por ser abeja!
            ¡qué esfuerzo de la abeja por ser caballo!
            y el caballo,
            ¡qué flecha aguda exprime de la rosa!,
            ¡qué rosa gris levanta de su belfo!
            y la rosa,
            ¡qué rebaño de luces y alaridos
            ata en el vivo azúcar de su tronco!
            y el azúcar,
            ¡qué puñalitos sueña en su vigilia!
            y los puñales diminutos,
            ¡qué luna sin establos, qué desnudos,
            piel eterna y rubor, andan buscando!
            y yo, por los aleros,
            ¡qué serafín de llamas busco y soy!
            pero el arco de yeso,
            ¡qué grande, qué invisible, qué diminuto!,
            sin esfuerzo.
        ",1,[21],"{1: [4, 12, 13, 14, 13, 5, 12, 11, 4, 11, 11, 5, 12, 10, 13, 12, 7, 11, 8, 14, 4]}",4.81705292530797
federico garcía lorca,muerte de antoñito el camborio,"
        Voces de muerte sonaron
        cerca del Guadalquivir.
        Voces antiguas que cercan
        voz de clavel varonil.
        Les clavó sobre las botas
        mordiscos de jabalí.
        En la lucha daba saltos
        jabonados de delfín.
        Bañó con sangre enemiga
        su corbata carmesí,
        pero eran cuatro puñales
        y tuvo que sucumbir.
        Cuando las estrella clavan
        rejones al agua gris,
        cuando los erales sueñan
        verónicas de alhelí,
        voces de muerte sonaron
        cerca del Guadalquivir.

        Antonio Torres Heredia.
        Camborio de dura crin,
        moreno de verde luna,
        voz de clavel varonil:
        ¿Quién te ha quitado la vida
        cerca del Guadalquivir?
        Mis cuatro primos Heredias
        Hijos de Benamejí.
        Lo que en otros no envidiaban,
        ya lo envidiaban en mí.
        Zapatos color corinto,
        medallones de marfil,
        y este cutis amasado
        con aceituna y jazmín.
        ¡Ay, Antoñito el Camborio,
        digno de una Emperatriz!
        Acuérdate de la Virgen
        porque te vas a morir.
        ¡Ay Federico García,
        llama a la guardia civil!
        Ya mi talle se ha quebrado
        como caña de maíz.

        Tres golpes de sangre tuvo
        y se murió de perfil.
        Viva moneda que nunca
        se volverá a repetir.
        Un ángel marchoso pone
        su cabeza en un cojín.
        Otros de rubor cansado
        encendieron un candil.
        Y cuando los cuatro primos
        llegan a Benamejí,
        voces de muerte cesaron
        cerca del Guadalquivir.
    ",3,"[18, 22, 12]","{1: [8, 8, 8, 8, 8, 7, 8, 7, 8, 7, 8, 8, 8, 6, 7, 7, 8, 8], 2: [8, 8, 7, 8, 9, 8, 8, 7, 9, 8, 8, 8, 8, 8, 10, 9, 7, 8, 7, 9, 9, 7], 3: [8, 8, 8, 9, 8, 9, 7, 8, 8, 7, 8, 8]}",5.5389446193899445
federico garcía lorca,nacimiento de cristo,"
        Un pastor pide teta por la nieve que ondula
        blancos perros tendidos entre linternas sordas.
        El Cristito de barro se ha partido los dedos
        en los tilos eternos de la madera rota.

        ¡Ya vienen las hormigas y los pies ateridos!
        Dos hilillos de sangre quiebran el cielo duro.
        Los vientres del demonio resuenan por los valles
        golpes y resonancias de carne de molusco.

        Lobos y sapos cantan en las hogueras verdes
        coronadas por vivos hormigueros del alba.
        La luna tiene un sueño de grandes abanicos
        y el toro sueña un toro de agujeros y de agua.

        El niño llora y mira con un tres en la frente,
        San José ve en el heno tres espinas de bronce.
        Los pañales exhalan un rumor de desierto
        con cítaras sin cuerdas y degolladas voces.

        La nieve de Manhattan empuja los anuncios
        y lleva gracia pura por las falsas ojivas.
        Sacerdotes idiotas y querubes de pluma
        van detrás de Lutero por las altas esquinas.
    ",5,"[4, 4, 4, 4, 4]","{1: [15, 15, 15, 13], 2: [14, 14, 14, 14], 3: [13, 14, 14, 16], 4: [15, 14, 13, 15], 5: [12, 14, 12, 15]}",6.006387697920458
federico garcía lorca,narciso,"
        Narciso.
        Tu olor.
        Y el fondo del río.

        Quiero quedarme a tu vera.
        Flor del amor.
        Narciso.

        Por tus blancos ojos cruzan
        ondas y peces dormidos.
        Pájaros y mariposas
        japonizan en los míos.

        Tú diminuto y yo grande.
        Flor del amor.
        Narciso.

        Las ranas, ¡qué listas son!
        Pero no dejan tranquilo
        el espejo en que se miran
        tu delirio y mi delirio.

        Narciso.
        Mi dolor.
        Y mi dolor mismo.
    ",6,"[3, 3, 4, 3, 4, 3]","{1: [3, 3, 6], 2: [9, 4, 3], 3: [7, 9, 8, 8], 4: [9, 4, 3], 5: [9, 8, 9, 9], 6: [3, 4, 6]}",3.9148663038831
federico garcía lorca,niña ahogada en el pozo,"
        Las estatuas sufren por los ojos con la oscuridad de los ataúdes,
        pero sufren mucho más por el agua que no desemboca.
        Que no desemboca.

        El pueblo corría por las almenas rompiendo las cañas de los pescadores.
        ¡Pronto! ¡Los bordes! ¡Deprisa! Y croaban las estrellas tiernas.
        ...que no desemboca.

        Tranquila en mi recuerdo, astro, círculo, meta,
        lloras por las orillas de un ojo de caballo.
        ...que no desemboca.

        Pero nadie en lo oscuro podrá darte distancias,
        sin afilado límite, porvenir de diamante.
        ...que no desemboca.

        Mientras la gente busca silencios de almohada
        tú lates para siempre definida en tu anillo.
        ...que no desemboca.

        Eterna en los finales de unas ondas que aceptan
        combate de raíces y soledad prevista.
        ...que no desemboca.

        ¡Ya vienen por las rampas! ¡Levántate del agua!
        ¡Cada punto de luz te dará una cadena!
        ...que no desemboca.

        Pero el pozo te alarga manecitas de musgo.
        insospechada ondina de su casta ignorancia.
        ...que no desemboca.

        No, que no desemboca. Agua fija en un punto,
        respirando con todos sus violines sin cuerdas
        en la escala de las heridas y los edificios deshabitados.

        ¡Agua que no desemboca!
    ",10,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 1]","{1: [19, 16, 6], 2: [22, 18, 7], 3: [15, 13, 7], 4: [17, 14, 7], 5: [14, 15, 7], 6: [14, 12, 7], 7: [14, 13, 7], 8: [15, 16, 7], 9: [14, 14, 21], 10: [8]}",5.563177895342842
federico garcía lorca,paisaje,"
            el campo
            de olivos
            se abre y se cierra
            como un abanico.
            sobre el olivar
            hay un cielo hundido
            y una lluvia oscura
            de luceros fríos.
            tiembla junco y penumbra
            a la orilla del río.
            se riza el aire gris.
            los olivos,
            están cargados
            de gritos.
            una bandada
            de pájaros cautivos,
            que mueven sus larguísimas
            colas en lo sombrío.
        ",1,[18],"{1: [3, 3, 6, 6, 5, 7, 7, 6, 8, 6, 7, 4, 5, 4, 4, 8, 8, 6]}",4.563856189774724
federico garcía lorca,pequeño vals vienes,"
        En Viena hay diez muchachas,
        un hombro donde solloza la muerte
        y un bosque de palomas disecadas.
        Hay un fragmento de la mañana
        en el museo de la escarcha.
        Hay un salón con mil ventanas.
        ¡Ay, ay, ay, ay!
        Toma este vals con la boca cerrada.

        Este vals, este vals, este vals,
        de sí, de muerte y de coñac
        que moja su cola en el mar.

        Te quiero, te quiero, te quiero,
        con la butaca y el libro muerto,
        por el melancólico pasillo,
        en el oscuro desván del lirio,
        en nuestra cama de la luna
        y en la danza que sueña la tortuga.
        ¡Ay, ay, ay, ay!
        Toma este vals de quebrada cintura.

        En Viena hay cuatro espejos
        donde juegan tu boca y los ecos.
        Hay una muerte para piano
        que pinta de azul a los muchachos.
        Hay mendigos por los tejados.
        Hay frescas guirnaldas de llanto.
        ¡Ay, ay, ay, ay!
        Toma este vals que se muere en mis brazos.

        Porque te quiero, te quiero, amor mío,
        en el desván donde juegan los niños,
        soñando viejas luces de Hungría
        por los rumores de la tarde tibia,
        viendo ovejas y lirios de nieve
        por el silencio oscuro de tu frente.
        ¡Ay, ay, ay, ay!
        Toma este vals del ""Te quiero siempre"".

        En Viena bailaré contigo
        con un disfraz que tenga
        cabeza de río.
        ¡Mira qué orilla tengo de jacintos!
        Dejaré mi boca entre tus piernas,
        mi alma en fotografías y azucenas,
        y en las ondas oscuras de tu andar
        quiero, amor mío, amor mío, dejar,
        violín y sepulcro, las cintas del vals.
    ",6,"[8, 3, 8, 8, 8, 9]","{1: [9, 11, 13, 10, 9, 9, 5, 12], 2: [12, 9, 10], 3: [9, 11, 10, 10, 9, 12, 5, 12], 4: [9, 11, 7, 11, 10, 9, 5, 14], 5: [10, 12, 11, 11, 10, 12, 5, 11], 6: [9, 7, 5, 12, 12, 13, 12, 9, 12]}",5.743868845805414
federico garcía lorca,pita,"
        Pulpo petrificado.

        Pones cinchas cenicientas
        al vientre de los montes,
        y muelas formidables
        a los desfiladeros.

        Pulpo petrificado.
    ",3,"[1, 4, 1]","{1: [7], 2: [8, 7, 7, 8], 3: [7]}",2.9477027792200907
federico garcía lorca,poema de la saeta,"
cirio, candil,
farol y luciérnaga.

la constelación
de la saeta.

ventanitas de oro
tiemblan,
y en la aurora se mecen
cruces superpuestas.

cirio, candil,
farol y luciérnaga.
",4,"[2, 2, 4, 2]","{1: [5, 7], 2: [5, 4], 3: [6, 2, 9, 7], 4: [5, 7]}",3.238901256602631
federico garcía lorca,poema de la soleá,"
        Vestida con mantos negros
        piensa que el mundo es chiquito
        y el corazón es inmenso.
        Vestida con mantos negros.

        Piensa que el suspiro tierno
        y el grito, desaparecen
        en la corriente del viento.
        Vestida con mantos negros.

        Se dejó el balcón abierto
        y el alba por el balcón
        desembocó todo el cielo.

        ¡Ay yayayayay,
        que vestida con mantos negros!
    ",4,"[4, 4, 3, 2]","{1: [8, 10, 9, 9], 2: [8, 8, 8, 9], 3: [8, 8, 9], 4: [6, 10]}",3.6412498004554794
federico garcía lorca,reyerta,"
            en la mitad del barranco
            las navajas de albacete,
            bellas de sangre contraria,
            relucen como los peces.
            una dura luz de naipe
            recorta en el agrio verde,
            caballos enfurecidos
            y perfiles de jinetes.
            en la copa de un olivo
            lloran dos viejas mujeres.
            el toro de la reyerta
            se sube por las paredes.
            ángeles negros traían
            pañuelos y agua de nieve.
            ángeles con grandes alas
            de navajas de albacete.
            juan antonio el de montilla
            rueda muerto la pendiente,
            su cuerpo lleno de lirios
            y una granada en las sienes.
            ahora monta cruz de fuego,
            carretera de la muerte.

            el juez, con guardia civil,
            por los olivares viene.
            sangre resbalada gime
            muda canción de serpiente.
            señores guardias civiles:
            aquí pasó lo de siempre.
            han muerto cuatro romanos
            y cinco cartagineses.

            la tarde loca de higueras
            y de rumores calientes
            cae desmayada en los muslos
            heridos de los jinetes.
            y ángeles negros volaban
            por el aire del poniente.
            ángeles de largas trenzas
            y corazones de aceite.
        ",3,"[22, 8, 8]","{1: [8, 9, 8, 9, 7, 8, 8, 8, 8, 8, 8, 8, 6, 8, 7, 9, 9, 8, 7, 9, 8, 8], 2: [9, 7, 8, 8, 9, 7, 8, 8], 3: [9, 8, 9, 8, 9, 8, 8, 8]}",5.924395006828627
federico garcía lorca,romance de la luna luna,"
        La luna vino a la fragua
        con su polisón de nardos.
        El niño la mira mira.
        El niño la está mirando.

        En el aire conmovido
        mueve la luna sus brazos
        y enseña, lúbrica y pura,
        sus senos de duro estaño.
        Huye luna, luna, luna.
        Si vinieran los gitanos,
        harían con tu corazón
        collares y anillos blancos.
        Niño, déjame que baile.
        Cuando vengan los gitanos,
        te encontrarán sobre el yunque
        con los ojillos cerrados.
        Huye luna, luna, luna,
        que ya siento sus caballos.
        Niño, déjame, no pises
        mi blancor almidonado.

        El jinete se acercaba
        tocando el tambor del llano.
        Dentro de la fragua el niño,
        tiene los ojos cerrados.

        Por el olivar venían,
        bronce y sueño, los gitanos.
        Las cabezas levantadas
        y los ojos entornados.

        Cómo canta la zumaya,
        ¡ay cómo canta en el árbol!
        Por el cielo va la luna
        con un niño de la mano.

        Dentro de la fragua lloran,
        dando gritos, los gitanos.
        El aire la vela, vela.
        El aire la está velando.
    ",6,"[4, 16, 4, 4, 4, 4]","{1: [8, 9, 8, 9], 2: [8, 8, 10, 8, 8, 9, 7, 9, 8, 9, 10, 8, 8, 9, 8, 8], 3: [8, 8, 9, 8], 4: [6, 10, 8, 8], 5: [8, 10, 8, 8], 6: [8, 10, 8, 9]}",5.030639062229567
federico garcía lorca,romance sonámbulo,"
        Verde que te quiero verde.
        Verde viento. Verdes ramas.
        El barco sobre la mar
        y el caballo en la montaña.
        Con la sombra en la cintura
        ella sueña en su baranda,
        verde carne, pelo verde,
        con ojos de fría plata.
        Verde que te quiero verde.
        Bajo la luna gitana,
        las cosas le están mirando
        y ella no puede mirarlas.

        Verde que te quiero verde.
        Grandes estrellas de escarcha,
        vienen con el pez de sombra
        que abre el camino del alba.
        La higuera frota su viento
        con la lija de sus ramas,
        y el monte, gato garduño,
        eriza sus pitas agrias.
        ¿Pero quién vendrá? ¿Y por dónde...?
        Ella sigue en su baranda,
        verde carne, pelo verde,
        soñando en la mar amarga.

        Compadre, quiero cambiar
        mi caballo por su casa,
        mi montura por su espejo,
        mi cuchillo por su manta.
        Compadre, vengo sangrando,
        desde los montes de Cabra.
        Si yo pudiera, mocito,
        ese trato se cerraba.
        Pero yo ya no soy yo,
        ni mi casa es ya mi casa.
        Compadre, quiero morir
        decentemente en mi cama.
        De acero, si puede ser,
        con las sábanas de holanda.
        ¿No ves la herida que tengo
        desde el pecho a la garganta?
        Trescientas rosas morenas
        lleva tu pechera blanca.
        Tu sangre rezuma y huele
        alrededor de tu faja.
        Pero yo ya no soy yo,
        ni mi casa es ya mi casa.
        Dejadme subir al menos
        hasta las altas barandas,
        dejadme subir, dejadme,
        hasta las verdes barandas.
        Barandales de la luna
        por donde retumba el agua.

        Ya suben los dos compadres
        hacia las altas barandas.
        Dejando un rastro de sangre.
        Dejando un rastro de lágrimas.
        Temblaban en los tejados
        farolillos de hojalata.
        Mil panderos de cristal,
        herían la madrugada.

        Verde que te quiero verde,
        verde viento, verdes ramas.
        Los dos compadres subieron.
        El largo viento, dejaba
        en la boca un raro gusto
        de hiel, de menta y de albahaca.
        ¡Compadre! ¿Dónde está, dime?
        ¿Dónde está mi niña amarga?
        ¡Cuántas veces te esperó!
        ¡Cuántas veces te esperara,
        cara fresca, negro pelo,
        en esta verde baranda!

        Sobre el rostro del aljibe
        se mecía la gitana.
        Verde carne, pelo verde,
        con ojos de fría plata.
        Un carámbano de luna
        la sostiene sobre el agua.
        La noche su puso íntima
        como una pequeña plaza.
        Guardias civiles borrachos,
        en la puerta golpeaban.
        Verde que te quiero verde.
        Verde viento. Verdes ramas.
        El barco sobre la mar.
        Y el caballo en la montaña.
    ",6,"[12, 12, 28, 8, 12, 14]","{1: [8, 9, 7, 10, 9, 8, 8, 6, 8, 8, 9, 9], 2: [8, 9, 8, 8, 9, 9, 9, 7, 9, 8, 8, 8], 3: [7, 8, 9, 8, 8, 8, 8, 7, 7, 9, 7, 9, 8, 9, 9, 10, 7, 8, 9, 8, 7, 9, 8, 9, 9, 9, 8, 8], 4: [8, 9, 9, 11, 8, 9, 8, 7], 5: [8, 9, 9, 8, 9, 11, 9, 9, 8, 9, 8, 8], 6: [9, 7, 8, 6, 7, 8, 9, 8, 9, 7, 8, 9, 8, 10]}",5.901929311271897
